case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,thread_region,cpu_model,physical_cores,logical_cores,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,6,6,"physical_core_region","Apple M4 Max",14,14,3,4.1e-05,169.5034167,169.5034167,169.5034167,169.40475,169.561042,0.07009560422,169.5034167,169.40475,169.561042,0.07009560422,3.183325624,0.5305542707,2.418830299e-07,1.497393842e-17,0.0048828125,0,6131.390625,0,0,0,0,0,0,169.5034167,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,6,6,"physical_core_region","Apple M4 Max",14,14,3,68.987875,139.7065833,208.6944583,139.7065833,136.372375,145.714375,4.256702705,208.6944583,205.36025,214.70225,4.256702705,3.862270172,0.6437116954,0.3305687921,1.413851997e-17,0.0048828125,1320105600,6131.390625,0,68.987875,0,0,5.681805667,0,126.1369027,0,0,7.887875,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,6,6,"physical_core_region","Apple M4 Max",14,14,3,463.520667,148.20925,611.729917,148.20925,144.7645,150.42425,2.46879273,611.729917,608.285167,613.944917,2.46879273,3.640694286,0.6067823811,0.7577211023,0,0,1924445952,6131.390625,0,0,0,463.520667,0,0,148.20925,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,6,6,"physical_core_region","Apple M4 Max",14,14,3,208.731583,196.0425273,404.7741103,196.0425273,195.791291,196.435583,0.2814990678,404.7741103,404.522874,405.167166,0.2814990678,2.752385296,0.4587308827,0.5156742432,1.228013142e-16,0.0048828125,8909472,6131.390625,50,0,208.731583,0,0,0,196.0425273,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,7,7,"physical_core_region","Apple M4 Max",14,14,3,0.000167,149.859514,149.859514,149.859514,147.180625,154.594667,3.35789328,149.859514,147.180625,154.594667,3.35789328,3.600602693,0.5143718133,1.114377029e-06,1.090389683e-16,0.0068359375,0,6131.390625,0,0,0,0,0,0,149.859514,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,7,7,"physical_core_region","Apple M4 Max",14,14,3,82.554791,130.938625,213.493416,130.938625,130.341,131.773,0.6081085001,213.493416,212.895791,214.327791,0.6081085001,4.120896868,0.5886995526,0.3866854189,8.268687012e-17,0.0048828125,1540123200,6131.390625,0,82.554791,0,0,6.649986,0,116.532278,0,0,7.756361,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,7,7,"physical_core_region","Apple M4 Max",14,14,3,400.714583,147.6395,548.354083,147.6395,142.3665,157.401083,6.90990615,548.354083,543.081083,558.115666,6.90990615,3.654743952,0.5221062788,0.7307588207,0,0,1924445952,6143.40625,0,0,0,400.714583,0,0,147.6395,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,7,7,"physical_core_region","Apple M4 Max",14,14,3,218.815833,183.1678333,401.9836663,183.1678333,181.457041,186.188875,2.142448481,401.9836663,400.272874,405.004708,2.142448481,2.945847859,0.4208354084,0.5443401096,1.228013142e-16,0.0048828125,8909472,6143.40625,50,0,218.815833,0,0,0,183.1678333,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,8,8,"physical_core_region","Apple M4 Max",14,14,3,0,150.3039583,150.3039583,150.3039583,141.486625,164.114042,9.8892422,150.3039583,141.486625,164.114042,9.8892422,3.589955818,0.4487444772,0,9.826395287e-17,0.005859375,0,6143.40625,0,0,0,0,0,0,150.3039583,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,8,8,"physical_core_region","Apple M4 Max",14,14,3,91.666625,140.9582917,232.6249167,140.9582917,123.902333,165.17725,17.59519094,232.6249167,215.568958,256.843875,17.59519094,3.827973249,0.4784966561,0.3940533384,7.391654287e-17,0.0048828125,1760140800,6143.40625,0,91.666625,0,0,8.873430333,0,118.2151253,0,0,13.869736,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","close","cores","FALSE"
