case_name,mesh,element_type,kernel,nodes,elements,dofs,nnz,algorithm,threads,effective_threads,thread_region,cpu_model,physical_cores,logical_cores,run_count,preprocess_ms,assembly_ms,total_ms,assembly_mean_ms,assembly_min_ms,assembly_max_ms,assembly_std_ms,total_mean_ms,total_min_ms,total_max_ms,total_std_ms,speedup,efficiency,preprocess_share,rel_l2,max_abs,extra_memory_bytes,peak_rss_mb,colors,prepare_allocate_ms,prepare_coloring_ms,prepare_owner_partition_ms,assembly_zero_ms,assembly_generate_ms,assembly_numeric_ms,assembly_merge_ms,assembly_sort_ms,assembly_reduce_ms,status,skip_reason,diagnostics,platform,omp_proc_bind,omp_places,omp_dynamic
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,6,6,"physical_core_region","Apple M4 Max",14,14,3,8.3e-05,167.077167,167.077167,167.077167,165.189084,168.931333,1.527954988,167.077167,165.189084,168.931333,1.527954988,3.252688955,0.5421148258,4.967764386e-07,1.562208042e-17,0.0048828125,0,6284.390625,0,0,0,0,0,0,167.077167,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,6,6,"physical_core_region","Apple M4 Max",14,14,3,195.391208,130.4596943,325.8509023,130.4596943,128.7595,132.342208,1.468305011,325.8509023,324.150708,327.733416,1.468305011,4.165654829,0.6942758048,0.5996337791,1.413851997e-17,0.0048828125,1320105600,6341.765625,0,195.391208,0,0,5.427069333,0,118.4224583,0,0,6.610166667,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,6,6,"physical_core_region","Apple M4 Max",14,14,3,558.48325,131.4724863,689.9557363,131.4724863,130.83075,132.543959,0.7625729502,689.9557363,689.314,691.027209,0.7625729502,4.133564906,0.6889274844,0.8094479408,0,0,1924445952,6341.765625,0,0,0,558.48325,0,0,131.4724863,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,6,6,"physical_core_region","Apple M4 Max",14,14,3,221.430875,189.5065553,410.9374303,189.5065553,189.025833,189.922166,0.3688114772,410.9374303,410.456708,411.353041,0.3688114772,2.867711118,0.477951853,0.5388432853,1.228013142e-16,0.0048828125,8909472,6341.765625,50,0,221.430875,0,0,0,189.5065553,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,7,7,"physical_core_region","Apple M4 Max",14,14,3,0,156.9627643,156.9627643,156.9627643,147.199084,164.930625,7.349404183,156.9627643,147.199084,164.930625,7.349404183,3.462286473,0.4946123532,0,1.090291376e-16,0.0068359375,0,6341.765625,0,0,0,0,0,0,156.9627643,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,7,7,"physical_core_region","Apple M4 Max",14,14,3,79.476417,126.4385557,205.9149727,126.4385557,118.052625,137.634042,8.237239635,205.9149727,197.529042,217.110459,8.237239635,4.298135587,0.6140193696,0.385967159,8.268687012e-17,0.0048828125,1540123200,6341.765625,0,79.476417,0,0,8.566389,0,109.7833333,0,0,8.088833333,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,7,7,"physical_core_region","Apple M4 Max",14,14,3,356.477583,152.4236943,508.9012773,152.4236943,141.103458,171.233542,13.39219173,508.9012773,497.581041,527.711125,13.39219173,3.565390919,0.5093415599,0.700484748,0,0,1924445952,6341.765625,0,0,0,356.477583,0,0,152.4236943,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,7,7,"physical_core_region","Apple M4 Max",14,14,3,208.211,217.2215697,425.4325697,217.2215697,189.123709,232.374958,19.88864262,425.4325697,397.334709,440.585958,19.88864262,2.501823629,0.3574033755,0.4894101083,1.228013142e-16,0.0048828125,8909472,6341.765625,50,0,208.211,0,0,0,217.2215697,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,8,8,"physical_core_region","Apple M4 Max",14,14,3,4.2e-05,145.132375,145.132375,145.132375,141.941833,147.993042,2.481383448,145.132375,141.941833,147.993042,2.481383448,3.744512936,0.468064117,2.893909784e-07,9.814477244e-17,0.005859375,0,6341.765625,0,0,0,0,0,0,145.132375,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_private_csr,8,8,"physical_core_region","Apple M4 Max",14,14,3,102.029375,122.774167,224.803542,122.774167,111.637209,132.345959,8.526444749,224.803542,213.666584,234.375334,8.526444749,4.426420223,0.5533025279,0.4538601754,7.391654287e-17,0.0048828125,1760140800,6341.765625,0,102.029375,0,0,7.273680667,0,105.528375,0,0,9.972111333,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_row_owner,8,8,"physical_core_region","Apple M4 Max",14,14,3,371.133708,124.6964027,495.8301107,124.6964027,119.215667,127.9485,3.897923778,495.8301107,490.349375,499.082208,3.897923778,4.358185513,0.5447731892,0.7485098222,0,0,1924445952,6341.765625,0,0,0,371.133708,0,0,124.6964027,0,0,0,PASS,"","Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_graph_coloring,8,8,"physical_core_region","Apple M4 Max",14,14,3,224.292583,174.0421667,398.3347497,174.0421667,166.488542,187.542333,9.56857869,398.3347497,390.781125,411.834916,9.56857869,3.122519479,0.3903149349,0.5630756121,1.228013142e-16,0.0048828125,8909472,6341.765625,50,0,224.292583,0,0,0,174.0421667,0,0,0,PASS,"","Greedy first-fit element coloring, colors=50","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
"3d-WindTurbineHub","3d-WindTurbineHub",Tet4,physics_tet4,228384,1113684,685152,27502200,cpu_atomic,9,9,"physical_core_region","Apple M4 Max",14,14,3,4.2e-05,134.2734443,134.2734443,134.2734443,120.47575,149.296958,11.79809257,134.2734443,120.47575,149.296958,11.79809257,4.047338313,0.449704257,3.127945381e-07,1.164690085e-16,0.005859375,0,6341.765625,0,0,0,0,0,0,134.2734443,0,0,0,PASS,"","","macOS;arm64;Clang 21.0.0 (clang-2100.0.123.102);OpenMP 202011","","",""
