env_group,algorithm,threads,thread_region,assembly_ms,speedup,efficiency,status,skip_reason,diagnostics,physical_cores,logical_cores,cpu_model,omp_dynamic,omp_proc_bind,omp_places,extra_memory_bytes,rel_l2
default,cpu_row_owner,16,oversubscription_region,125.5800417,4.327519313,0.2704699571,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,16,oversubscription_region,143.0283473,3.799596834,0.2374748021,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,17,oversubscription_region,116.2456113,4.67501568,0.2750009223,PASS,,,14,14,Apple M4 Max,,,,0.0,1.498062504e-16
default,cpu_private_csr,17,oversubscription_region,131.581625,4.130136375,0.2429491985,PASS,,,14,14,Apple M4 Max,,,,3740299200.0,1.261469697e-16
default,cpu_row_owner,17,oversubscription_region,132.196486,4.110926637,0.241819214,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,17,oversubscription_region,163.0865553,3.332279933,0.1960164666,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,18,oversubscription_region,116.266875,4.674160681,0.2596755934,PASS,,,14,14,Apple M4 Max,,,,0.0,1.424844944e-16
default,cpu_private_csr,18,oversubscription_region,130.7809723,4.155421435,0.2308567464,PASS,,,14,14,Apple M4 Max,,,,3960316800.0,1.241182181e-16
default,cpu_row_owner,18,oversubscription_region,148.726278,3.654028481,0.2030015823,PASS,,"Owner-computes by CSR row block; no atomics, but elements may be recomputed by multiple owners",14,14,Apple M4 Max,,,,1924445952.0,0.0
default,cpu_graph_coloring,18,oversubscription_region,137.0587777,3.96508757,0.2202826428,PASS,,"Greedy first-fit element coloring, colors=50",14,14,Apple M4 Max,,,,8909472.0,1.228013142e-16
default,cpu_atomic,19,oversubscription_region,133.035153,4.085010942,0.2150005759,PASS,,,14,14,Apple M4 Max,,,,0.0,1.483672768e-16
